"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -C 0,1,2,3,4,5,6,7,total --output /home/rexhuang/program/Homework/operating_systems/thread/thread1_cpu.csv",,,,"Date:","23 Oct 2020 14:42:11 CST"
"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,,"cpu4 usage",,,,,"cpu5 usage",,,,,"cpu6 usage",,,,,"cpu7 usage",,,,,"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu5 usage:usr","cpu5 usage:sys","cpu5 usage:idl","cpu5 usage:wai","cpu5 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","cpu7 usage:usr","cpu7 usage:sys","cpu7 usage:idl","cpu7 usage:wai","cpu7 usage:stl","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","read","writ","recv","send","in","out","int","csw"
12.749,1.739,83.518,1.994,0,10.557,1.939,86.075,1.429,0,10.279,1.930,86.048,1.744,0,9.484,1.977,86.860,1.678,0,7.949,2.542,87.721,1.788,0,8.644,2.274,85.641,3.440,0,8.924,1.957,86.415,2.704,0,9.158,1.947,86.463,2.432,0,9.738,2.036,86.078,2.148,0,1078057.140,1117309.191,0,0,0,0,2087.916,6382.900
20.690,5.172,74.138,0,0,10.092,5.505,84.404,0,0,16.102,10.169,73.729,0,0,17.391,6.957,75.652,0,0,9.091,4.040,86.869,0,0,8,3,89,0,0,6.796,3.883,89.320,0,0,18.182,4.545,77.273,0,0,13.279,5.427,81.293,0,0,0,0,101,86,0,0,2715,8734
11.321,6.604,82.075,0,0,16.667,6.667,76.667,0,0,5.941,0,94.059,0,0,4.950,1.980,93.069,0,0,5.769,4.808,89.423,0,0,1.031,0,98.969,0,0,2,2,96,0,0,20.354,5.310,74.336,0,0,9.264,3.444,87.292,0,0,0,0,98,210,0,0,2030,5869
2.970,1.980,92.079,2.970,0,3.960,0,96.040,0,0,24.490,2.041,73.469,0,0,1.031,0,98.969,0,0,4,7,89,0,0,3.030,0,96.970,0,0,1.980,0.990,97.030,0,0,3,0,97,0,0,5.493,1.748,92.385,0.375,0,0,380928,608,764,0,0,1435,2969
3.883,0,74.757,21.359,0,0,0,100,0,0,97,3,0,0,0,2.941,0,97.059,0,0,1.010,0,98.990,0,0,1,0,96,3,0,1,0,99,0,0,0,1,94,5,0,13.358,0.499,82.522,3.620,0,0,299008,752,912,0,0,1348,2399
3.960,0.990,95.050,0,0,1.010,0,98.990,0,0,96,4,0,0,0,2.020,0,97.980,0,0,1.010,0,98.990,0,0,0,2,98,0,0,0,0,100,0,0,1.010,0,98.990,0,0,13.098,0.756,86.146,0,0,0,0,0,0,0,0,1642,4316
11.927,0.917,87.156,0,0,3.922,0.980,95.098,0,0,96,4,0,0,0,1.020,1.020,97.959,0,0,3.061,2.041,94.898,0,0,4,0,96,0,0,2,0,98,0,0,1.010,1.010,97.980,0,0,15.280,1.118,83.602,0,0,0,0,2627,816,0,0,2431,7253
6.796,0,93.204,0,0,4.854,0,95.146,0,0,96,4,0,0,0,3.922,0,96.078,0,0,3.922,1.961,94.118,0,0,1,1,98,0,0,0,0,100,0,0,1,1,98,0,0,14.797,1.110,84.094,0,0,0,0,196,420,0,0,1724,4797
2.941,1.961,95.098,0,0,2.941,0,97.059,0,0,96,4,0,0,0,2.941,0,97.059,0,0,0,0,100,0,0,0,0,100,0,0,0,1.980,95.050,2.970,0,1,0,99,0,0,13.076,0.996,85.554,0.374,0,0,49152,67,95,0,0,1201,2311
13.043,0.870,86.087,0,0,1.961,0.980,97.059,0,0,97.980,2.020,0,0,0,1.980,0.990,97.030,0,0,3.960,0.990,95.050,0,0,2.970,0.990,96.040,0,0,0,0,100,0,0,0,0,100,0,0,15.177,0.734,84.088,0,0,0,0,971,2711,0,0,1473,2526
