"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -d -r -g -i -m -p -s --output /home/rexhuang/program/Homework/operating_systems/thread/thread12.csv",,,,"Date:","23 Oct 2020 15:18:31 CST"
"dsk/total",,"io/total",,"paging",,"interrupts",,,"memory usage",,,,"procs",,,"swap",
"read","writ","read","writ","in","out","142","143","144","used","free","buff","cach","run","blk","new","used","free"
735350.895,3799627.807,11.056,11.425,0,0,0.618,29.611,70.142,5624111104,15840559104,231235584,4129366016,2,0,1.618,0,8192520192
0,98304,0,2,0,0,0,16,133,5622939648,15841120256,231243776,4129370112,0,0,5,0,8192520192
0,0,0,0,0,0,0,10,65,5665697792,15798951936,231243776,4129370112,1,0,1,0,8192520192
0,16384,0,1,0,0,0,11,53,5707788288,15756857344,231243776,4128325632,1,0,1,0,8192520192
0,200704,0,25,0,0,0,24,13,5755559936,15709085696,231243776,4128325632,2,0,0,0,8192520192
0,0,0,0,0,0,0,22,10,5796139008,15668506624,231243776,4125179904,1,0,0,0,8192520192
0,0,0,0,0,0,0,14,16,5840007168,15624638464,231243776,4125179904,1,0,0,0,8192520192
0,36864,0,2,0,0,0,13,13,5883801600,15580835840,231251968,4125179904,1,0,1,0,8192520192
0,0,0,0,0,0,0,11,13,5925240832,15539384320,231251968,4125192192,1,0,0,0,8192520192
0,323584,0,47,0,0,0,15,12,5968809984,15495806976,231260160,4125192192,1,0,0,0,8192520192
0,0,0,0,0,0,0,12,13,6012710912,15451906048,231260160,4125192192,1,0,0,0,8192520192
0,0,0,0,0,0,0,18,19,6195437568,15269175296,231260160,4125196288,12,0,12,0,8192520192
0,65536,0,2,0,0,0,13,93,6415003648,15049601024,231268352,4125196288,12,0,0,0,8192520192
0,16384,0,1,0,0,0,13,156,6606598144,14858006528,231268352,4125196288,12,0,0,0,8192520192
0,36864,0,2,0,0,0,21,41,6791397376,14673207296,231276544,4125188096,12,1,0,0,8192520192
0,65536,0,11,0,0,0,21,30,6988996608,14475579392,231292928,4125200384,12,0,0,0,8192520192
0,0,0,0,0,0,0,10,10,7194951680,14269624320,231292928,4125200384,12,0,0,0,8192520192
0,57344,0,2,0,0,0,19,11,7388241920,14076313600,231301120,4125212672,12,0,0,0,8192520192
0,0,0,0,0,0,0,10,14,7771766784,13692788736,231301120,4125212672,12,0,0,0,8192520192
0,0,0,0,0,0,0,11,20,7784120320,13680435200,231301120,4125212672,12,0,0,0,8192520192
0,0,0,0,0,0,0,23,14,7970140160,13494415360,231301120,4125212672,8,0,5,0,8192520192
0,16384,0,2,0,0,0,14,25,8099737600,13040476160,231309312,4442038272,1,0,0,0,8192520192
0,27889664,0,35,0,0,0,15,67,5612818432,13725642752,231313408,6198476800,0,2,0,0,8192520192
0,54652928,0,125,0,0,0,17,230,5612748800,13725708288,231317504,6198476800,1,1,0,0,8192520192
