"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -C 0,1,2,3,4,5,6,7,total --output /home/rexhuang/program/Homework/operating_systems/thread/thread4_cpu.csv",,,,"Date:","23 Oct 2020 14:53:24 CST"
"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,,"cpu4 usage",,,,,"cpu5 usage",,,,,"cpu6 usage",,,,,"cpu7 usage",,,,,"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu5 usage:usr","cpu5 usage:sys","cpu5 usage:idl","cpu5 usage:wai","cpu5 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","cpu7 usage:usr","cpu7 usage:sys","cpu7 usage:idl","cpu7 usage:wai","cpu7 usage:stl","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","read","writ","recv","send","in","out","int","csw"
12.419,1.688,83.862,2.031,0,10.337,1.900,86.448,1.315,0,10.478,1.955,85.923,1.644,0,9.229,1.957,87.298,1.516,0,7.690,2.496,88.182,1.632,0,8.380,2.228,86.058,3.334,0,8.722,1.917,86.690,2.671,0,9.371,1.916,86.382,2.331,0,9.597,2.005,86.341,2.057,0,942601.320,1763898.214,0,0,0,0,2052.316,6256.768
3,0,93,4,0,2.020,1.010,96.970,0,0,5.051,0,94.949,0,0,4,1,95,0,0,1.980,0.990,97.030,0,0,4.082,1.020,94.898,0,0,1,2,97,0,0,4.950,0.990,94.059,0,0,3.015,0.879,95.603,0.503,0,0,159744,310,456,0,0,990,2905
4.854,2.913,92.233,0,0,3.960,0,96.040,0,0,4.950,1.980,93.069,0,0,5.102,1.020,93.878,0,0,5.825,8.738,85.437,0,0,1.980,5.941,92.079,0,0,10.619,7.965,81.416,0,0,3.333,1.111,95.556,0,0,5.192,3.708,91.100,0,0,0,0,530,894,0,0,1700,5933
13.208,1.887,84.906,0,0,8.571,4.762,86.667,0,0,7.921,10.891,81.188,0,0,66.337,5.941,27.723,0,0,1.031,4.124,94.845,0,0,6.061,1.010,92.929,0,0,3.030,1.010,95.960,0,0,6.731,2.885,90.385,0,0,14.057,4.192,81.751,0,0,0,0,324,414,0,0,3152,12671
3.883,0,96.117,0,0,3.030,0,96.970,0,0,2.041,2.041,95.918,0,0,96,4,0,0,0,6.667,4.762,88.571,0,0,0,0,100,0,0,0.990,0.990,98.020,0,0,1,0,99,0,0,14.268,1.365,84.367,0,0,0,8192,164,210,0,0,1677,6644
4.902,0,95.098,0,0,5.102,0,94.898,0,0,1.980,0,98.020,0,0,95.960,4.040,0,0,0,1,3,96,0,0,0,0,100,0,0,3.922,0,96.078,0,0,3.922,0,96.078,0,0,14.604,1.114,84.282,0,0,0,0,0,0,0,0,1617,4777
14.286,0.893,84.821,0,0,8.654,0.962,90.385,0,0,5,1,94,0,0,96,4,0,0,0,1.010,3.030,93.939,2.020,0,5.155,0,94.845,0,0,4,2,91,3,0,4,1,95,0,0,17.058,1.483,80.841,0.618,0,0,143360,262,420,0,0,2639,10615
6.731,0.962,92.308,0,0,4.854,0,95.146,0,0,0,0,100,0,0,95,5,0,0,0,1.010,2.020,96.970,0,0,2.020,0,97.980,0,0,5,0,95,0,0,1.980,0.990,97.030,0,0,14.801,0.995,84.204,0,0,0,0,396,806,0,0,1642,5632
2.941,0,97.059,0,0,1,0,99,0,0,0.990,0,99.010,0,0,97.030,2.970,0,0,0,1.010,1.010,97.980,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,12.859,0.624,86.517,0,0,0,0,98,210,0,0,663,1160
6.542,0,93.458,0,0,0,0,100,0,0,0,0,100,0,0,95.960,4.040,0,0,0,0,0,100,0,0,0.990,0,99.010,0,0,1,0,99,0,0,1,0,99,0,0,13.135,0.620,86.121,0.124,0,0,114688,277,415,0,0,738,1095
