"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -C 0,1,2,3,4,5,6,7,total --output /home/rexhuang/program/Homework/operating_systems/thread/thread6_cpu.csv",,,,"Date:","23 Oct 2020 15:50:29 CST"
"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,,"cpu4 usage",,,,,"cpu5 usage",,,,,"cpu6 usage",,,,,"cpu7 usage",,,,,"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu5 usage:usr","cpu5 usage:sys","cpu5 usage:idl","cpu5 usage:wai","cpu5 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","cpu7 usage:usr","cpu7 usage:sys","cpu7 usage:idl","cpu7 usage:wai","cpu7 usage:stl","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","read","writ","recv","send","in","out","int","csw"
11.709,1.535,85.156,1.601,0,10.108,1.726,87.000,1.167,0,10.028,1.772,87.034,1.165,0,9.417,1.746,87.784,1.053,0,7.580,2.232,89.018,1.170,0,8.748,2.024,86.316,2.913,0,8.636,1.760,87.116,2.488,0,8.684,1.763,87.550,2.004,0,9.378,1.818,87.111,1.693,0,576161.280,3475158.275,0,0,0,0,1853.703,5728.788
9.615,2.885,87.500,0,0,9.524,0.952,89.524,0,0,10.784,2.941,86.275,0,0,2.020,1.010,96.970,0,0,2.083,1.042,96.875,0,0,11,1,88,0,0,6,2,92,0,0,10,1,89,0,0,7.597,1.370,91.034,0,0,0,0,98,210,0,0,1648,5825
7.071,4.040,88.889,0,0,10.680,1.942,87.379,0,0,7.143,4.082,88.776,0,0,7.292,4.167,88.542,0,0,9.901,0.990,89.109,0,0,15.152,3.030,81.818,0,0,4.124,1.031,94.845,0,0,4.167,2.083,93.750,0,0,8.354,2.658,88.987,0,0,0,0,160,348,0,0,2282,8591
8.491,0,84.906,6.604,0,58.163,7.143,34.694,0,0,4.902,0,95.098,0,0,15.152,2.020,82.828,0,0,3.922,0.980,95.098,0,0,5.102,0,94.898,0,0,4.902,0.980,94.118,0,0,5.941,4.950,89.109,0,0,12.963,2.222,83.951,0.864,0,0,233472,905,1755,0,0,1602,3930
1.980,0,95.050,2.970,0,93,7,0,0,0,1.980,0.990,97.030,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0.990,98.020,0,0,0,0,100,0,0,1,0,90,9,0,12.609,0.999,84.894,1.498,0,0,106496,7931,2481,0,0,812,1288
1.980,0,98.020,0,0,96,4,0,0,0,2.020,0,97.980,0,0,1,0,99,0,0,1,0,99,0,0,0,0,100,0,0,2,0,98,0,0,2,1,97,0,0,13.250,0.625,86.125,0,0,0,20480,429,2115,0,0,756,1146
1.961,0,98.039,0,0,98,2,0,0,0,0.990,0,99.010,0,0,0,1,99,0,0,1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,1.980,0,98.020,0,0,12.734,0.375,86.891,0,0,0,0,677,758,0,0,740,1149
0,0.990,99.010,0,0,96,4,0,0,0,1,1,98,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,1,0,96,3,0,3,0,97,0,0,12.641,0.751,86.358,0.250,0,0,57344,840,2531,0,0,728,1131
2.941,0,96.078,0.980,0,98,2,0,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,1,99,0,0,1,0,99,0,0,1,0,99,0,0,0,1,99,0,0,13.060,0.498,86.318,0.124,0,0,684032,577,382,0,0,782,1207
1,0,99,0,0,94,6,0,0,0,1,0,99,0,0,1,0,99,0,0,0,0,100,0,0,1,0,99,0,0,0.990,0,99.010,0,0,1.980,0,98.020,0,0,12.469,0.873,86.658,0,0,0,167936,98,210,0,0,657,1055
