"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -d -r -g -i -m -p -s --output /home/rexhuang/program/Homework/operating_systems/thread/thread1.csv",,,,"Date:","23 Oct 2020 14:42:10 CST"
"dsk/total",,"io/total",,"paging",,"interrupts",,,"memory usage",,,,"procs",,,"swap",
"read","writ","read","writ","in","out","142","143","144","used","free","buff","cach","run","blk","new","used","free"
1078384.932,1117648.918,16.169,10.459,0,0,0.621,33.944,75.204,5414297600,11918245888,222822400,8152133632,0,0,2.115,0,8192520192
0,0,0,0,0,0,0,12,30,5417529344,11915010048,222822400,8156332032,0,0,2,0,8192520192
0,0,0,0,0,0,0,10,103,5421649920,11910889472,222822400,8155025408,4,0,1,0,8192520192
0,0,0,0,0,0,0,16,90,5420707840,11911831552,222822400,8156073984,0,0,1,0,8192520192
0,12288,0,1,0,0,0,18,12,5418450944,11914088448,222822400,8155025408,0,0,4,0,8192520192
0,634880,0,81,0,0,0,23,18,5451812864,11880595456,222846976,8151879680,1,1,4,0,8192520192
0,32768,0,3,0,0,0,18,15,5493964800,11838435328,222855168,8151879680,2,0,0,0,8192520192
0,0,0,0,0,0,0,18,138,5534552064,11797848064,222855168,8151879680,1,0,0,0,8192520192
0,0,0,0,0,0,0,20,119,5578743808,11753656320,222855168,8151879680,1,0,0,0,8192520192
0,49152,0,2,0,0,0,10,15,5622452224,11709939712,222863360,8151879680,1,0,0,0,8192520192
0,0,0,0,0,0,0,22,10,5666869248,11665522688,222863360,8151879680,1,0,0,0,8192520192
0,16384,0,2,0,0,0,22,13,5710286848,11622096896,222871552,8151879680,1,0,0,0,8192520192
0,0,0,0,0,0,0,15,15,5749350400,11583033344,222871552,8151879680,1,0,0,0,8192520192
0,0,0,0,0,0,0,10,10,5792227328,11540156416,222871552,8151879680,1,0,0,0,8192520192
0,12288,0,1,0,0,0,11,19,5840257024,11492126720,222871552,8151879680,1,0,1,0,8192520192
0,315392,0,1,0,0,0,43,13,5899194368,11433185280,222871552,8151883776,1,0,1,0,8192520192
0,0,0,0,0,0,0,30,7,5956653056,11375751168,222871552,8151883776,1,0,1,0,8192520192
0,61440,0,3,0,0,0,9,10,6015238144,11317141504,222879744,8151883776,1,0,0,0,8192520192
0,0,0,0,0,0,0,28,7,6064267264,11268112384,222879744,8151883776,1,0,9,0,8192520192
0,274432,0,17,0,0,0,14,24,6104526848,11227856896,222904320,8152412160,1,0,1,0,8192520192
0,0,0,0,0,0,0,22,22,6160580608,11171737600,222904320,8156622848,1,0,2,0,8192520192
0,188416,0,3,0,0,0,13,23,6221746176,11110563840,222912512,8155574272,1,0,0,0,8192520192
0,0,0,0,0,0,0,13,13,6278541312,11053785088,222912512,8155574272,1,0,1,0,8192520192
0,0,0,0,0,0,0,21,7,6323273728,11009036288,222912512,8152428544,1,0,0,0,8192520192
0,16384,0,2,0,0,0,18,7,6361280512,10971029504,222912512,8152428544,1,0,0,0,8192520192
0,0,0,0,0,0,0,25,9,6416658432,10915667968,222912512,8152428544,1,0,0,0,8192520192
0,81920,0,2,0,0,0,22,7,6466969600,10865332224,222920704,8152428544,1,0,0,0,8192520192
0,0,0,0,0,0,0,19,7,6515097600,10817204224,222920704,8151904256,1,0,0,0,8192520192
0,49152,0,3,0,0,0,18,10,6568312832,10763997184,222928896,8151904256,1,0,0,0,8192520192
0,45056,0,2,0,0,0,7,7,6624833536,10707451904,222937088,8151904256,1,0,0,0,8192520192
0,0,0,0,0,0,0,13,11,6670249984,10662035456,222937088,8151904256,1,0,0,0,8192520192
0,0,0,0,0,0,0,16,7,6723522560,10608779264,222937088,8151904256,1,0,1,0,8192520192
0,0,0,0,0,0,0,23,7,6783475712,10548797440,222937088,8151916544,1,0,0,0,8192520192
0,57344,0,2,0,0,0,13,11,6830497792,10501767168,222945280,8151916544,1,0,0,0,8192520192
0,12288,0,1,0,0,0,12,14,6849884160,10482397184,222945280,8151916544,2,0,0,0,8192520192
0,94208,0,8,0,0,0,32,13,6900260864,10431987712,222953472,8151924736,1,2,0,0,8192520192
0,385024,0,71,0,0,0,21,17,6960558080,10371690496,222953472,8151924736,2,0,0,0,8192520192
0,0,0,0,0,0,0,10,40,7022030848,10310234112,222953472,8151924736,1,0,0,0,8192520192
0,69632,0,1,0,0,0,13,195,7076257792,10255986688,222953472,8151928832,1,0,0,0,8192520192
0,249856,0,23,0,0,0,17,147,7134334976,10197884928,222969856,8151932928,3,1,0,0,8192520192
0,32768,0,3,0,0,0,26,193,7191769088,10140442624,222978048,8151941120,1,0,3,0,8192520192
0,40960,0,10,0,0,0,10,144,7249313792,10082897920,222978048,8151941120,1,0,0,0,8192520192
0,0,0,0,0,0,0,11,68,7308681216,10023514112,222978048,8151945216,1,0,0,0,8192520192
0,0,0,0,0,0,0,16,80,7355981824,9976225792,222978048,8151945216,1,0,0,0,8192520192
0,65536,0,3,0,0,0,16,50,7403778048,9928421376,222986240,8151945216,1,0,0,0,8192520192
0,32768,0,2,0,0,0,26,39,7461433344,9870745600,222994432,8151945216,1,0,0,0,8192520192
0,8192,0,2,0,0,0,26,43,7521554432,9810628608,222994432,8151945216,1,0,0,0,8192520192
0,0,0,0,0,0,0,12,44,7581229056,9750953984,222994432,8151945216,1,0,0,0,8192520192
0,0,0,0,0,0,0,21,55,7629561856,9702625280,222994432,8151945216,1,0,0,0,8192520192
0,45056,0,2,0,0,0,11,28,7676284928,9655894016,223002624,8151945216,1,0,0,0,8192520192
0,0,0,0,0,0,0,15,36,7723573248,9608605696,223002624,8151945216,2,0,0,0,8192520192
0,36864,0,6,0,0,0,13,32,7779602432,9552568320,223010816,8151945216,1,0,0,0,8192520192
