"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -d -r -g -i -m -p -s --output /home/rexhuang/program/Homework/operating_systems/thread/thread4.csv",,,,"Date:","23 Oct 2020 14:53:25 CST"
"dsk/total",,"io/total",,"paging",,"interrupts",,,"memory usage",,,,"procs",,,"swap",
"read","writ","read","writ","in","out","142","143","144","used","free","buff","cach","run","blk","new","used","free"
942430.255,1763607.986,14.143,10.561,0,0,0.550,32.390,73.736,5538471936,7520063488,226037760,12326465536,1,0,1.936,0,8192520192
0,0,0,0,0,0,0,24,58,5538091008,7520534528,226037760,12326375424,2,0,1,0,8192520192
0,0,0,0,0,0,0,18,400,5566984192,7491342336,226037760,12325478400,1,0,5,0,8192520192
0,8192,0,2,0,0,0,15,197,5608534016,7449964544,226037760,12325326848,1,0,0,0,8192520192
0,0,0,0,0,0,0,10,121,5647032320,7411466240,226037760,12322181120,1,0,0,0,8192520192
0,45056,0,2,0,0,0,18,273,5689110528,7369371648,226045952,12322787328,1,0,2,0,8192520192
0,98304,0,2,0,0,0,19,180,5730123776,7328342016,226054144,12322787328,1,0,0,0,8192520192
0,0,0,0,0,0,0,14,16,5763219456,7295246336,226054144,12322787328,1,0,1,0,8192520192
0,114688,0,11,0,0,0,18,13,5796532224,7261933568,226054144,12322787328,1,0,0,0,8192520192
0,16384,0,1,0,0,0,17,10,5835337728,7223128064,226054144,12322787328,1,0,0,0,8192520192
0,0,0,0,0,0,0,15,16,5872271360,7186194432,226054144,12322787328,1,0,0,0,8192520192
0,24576,0,2,0,0,0,28,13,5903589376,7154868224,226062336,12322787328,1,0,0,0,8192520192
0,0,0,0,0,0,0,20,16,5954899968,7103557632,226062336,12322787328,4,0,6,0,8192520192
0,61440,0,3,0,0,0,16,13,6147592192,6910849024,226070528,12322795520,4,0,1,0,8192520192
0,233472,0,23,0,0,0,14,7,6322581504,6735859712,226070528,12322795520,4,0,0,0,8192520192
0,0,0,0,0,0,0,15,10,6514376704,6544064512,226070528,12322795520,4,0,0,0,8192520192
0,0,0,0,0,0,0,10,7,6726467584,6331965440,226070528,12322795520,4,0,0,0,8192520192
0,45056,0,3,0,0,0,26,7,7116402688,5942022144,226078720,12322795520,6,0,0,0,8192520192
0,0,0,0,0,0,0,9,9,7060197376,5998235648,226078720,12322795520,4,0,0,0,8192520192
0,40960,0,3,0,0,0,14,7,7240908800,5817511936,226086912,12322795520,4,0,0,0,8192520192
0,0,0,0,0,0,0,21,7,7459024896,5599395840,226086912,12322795520,4,0,0,0,8192520192
0,0,0,0,0,0,0,20,9,7668531200,5389893632,226086912,12322795520,4,0,0,0,8192520192
0,159744,0,5,0,0,0,13,7,8012275712,5046140928,226103296,12322787328,5,0,0,0,8192520192
0,0,0,0,0,0,0,25,58,8986910720,4071493632,226103296,12322795520,3,0,0,0,8192520192
0,0,0,0,0,0,0,11,13,8013856768,3967270912,226103296,13371092992,1,0,0,0,8192520192
4096,47947776,1,140,0,0,0,13,111,5533257728,5394223104,226115584,14396067840,0,1,0,0,8192520192
0,82309120,0,72,0,0,0,21,265,5535289344,5392191488,226115584,14396067840,0,1,3,0,8192520192
