"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -d -r -g -i -m -p -s --output /home/rexhuang/program/Homework/operating_systems/thread/thread8.csv",,,,"Date:","23 Oct 2020 15:16:01 CST"
"dsk/total",,"io/total",,"paging",,"interrupts",,,"memory usage",,,,"procs",,,"swap",
"read","writ","read","writ","in","out","142","143","144","used","free","buff","cach","run","blk","new","used","free"
751766.785,3573565.677,11.300,11.301,0,0,0.632,29.839,69.898,5619879936,15845920768,230694912,4129558528,3,1,1.644,0,8192520192
0,24576,0,3,0,0,0,14,30,5629353984,15836418048,230703104,4133773312,0,0,1,0,8192520192
0,0,0,0,0,0,0,12,142,5629128704,15836643328,230703104,4133773312,2,0,0,0,8192520192
0,0,0,0,0,0,0,34,293,5658955776,15806758912,230703104,4133851136,1,0,7,0,8192520192
0,0,0,1,0,0,0,37,239,5698232320,15767486464,230703104,4133511168,1,0,0,0,8192520192
0,4096,0,2,0,0,0,11,120,5738647552,15727071232,230703104,4132724736,1,0,0,0,8192520192
0,94208,0,2,0,0,0,14,153,5776863232,15688847360,230711296,4129841152,1,0,0,0,8192520192
0,204800,0,5,0,0,0,13,201,5817143296,15648559104,230727680,4129832960,1,0,0,0,8192520192
0,0,0,0,0,0,0,9,36,5859971072,15605723136,230727680,4129841152,1,0,0,0,8192520192
0,0,0,0,0,0,0,17,14,5900836864,15564857344,230727680,4129841152,1,0,0,0,8192520192
0,274432,0,49,0,0,0,24,15,5943095296,15522598912,230727680,4129841152,1,0,0,0,8192520192
0,0,0,0,0,0,0,10,13,5985964032,15479730176,230727680,4129579008,1,0,0,0,8192520192
0,53248,0,2,0,0,0,11,15,6028832768,15436853248,230735872,4129579008,1,0,0,0,8192520192
0,40960,0,3,0,0,0,14,18,6240231424,15225446400,230744064,4129579008,8,0,8,0,8192520192
0,188416,0,19,0,0,0,31,65,6423670784,15041998848,230760448,4129570816,11,0,0,0,8192520192
0,389120,0,87,0,0,0,13,331,6601998336,14863654912,230760448,4129587200,8,0,0,0,8192520192
0,0,0,0,0,0,0,17,94,6790410240,14675238912,230760448,4129591296,8,0,3,0,8192520192
0,323584,0,1,0,0,0,15,34,6990249984,14475251712,230760448,4129738752,8,0,0,0,8192520192
0,36864,0,2,0,0,0,10,12,7162290176,14303358976,230768640,4129583104,8,0,0,0,8192520192
0,53248,0,2,0,0,0,18,60,7353720832,14111920128,230776832,4129583104,8,0,0,0,8192520192
0,0,0,0,0,0,0,11,25,7561699328,13903933440,230776832,4129591296,8,0,0,0,8192520192
0,0,0,0,0,0,0,11,60,7750107136,13715525632,230776832,4129591296,8,0,0,0,8192520192
0,0,0,0,0,0,0,14,23,7940837376,13524795392,230776832,4129591296,8,0,0,0,8192520192
0,12288,0,1,0,0,0,14,20,8101662720,13363965952,230776832,4129595392,1,0,0,0,8192520192
0,1515520,0,22,0,0,0,24,74,8102785024,11578822656,230776832,5869342720,0,1,0,0,8192520192
4096,75714560,1,106,0,0,0,13,36,5623218176,13716299776,230789120,6202867712,1,1,0,0,8192520192
4096,82583552,1,72,0,0,0,11,215,5623193600,13716299776,230797312,6202884096,0,1,0,0,8192520192
