"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -C 0,1,2,3,4,5,6,7,total --output /home/rexhuang/program/Homework/operating_systems/thread/thread2_cpu.csv",,,,"Date:","23 Oct 2020 15:20:43 CST"
"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,,"cpu4 usage",,,,,"cpu5 usage",,,,,"cpu6 usage",,,,,"cpu7 usage",,,,,"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu5 usage:usr","cpu5 usage:sys","cpu5 usage:idl","cpu5 usage:wai","cpu5 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","cpu7 usage:usr","cpu7 usage:sys","cpu7 usage:idl","cpu7 usage:wai","cpu7 usage:stl","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","read","writ","recv","send","in","out","int","csw"
11.960,1.576,84.632,1.831,0,10.445,1.770,86.470,1.315,0,10.446,1.821,86.343,1.390,0,9.462,1.808,87.452,1.277,0,7.679,2.312,88.611,1.398,0,8.917,2.055,85.647,3.381,0,8.709,1.818,86.543,2.930,0,8.973,1.799,86.877,2.351,0,9.589,1.868,86.562,1.982,0,721421.074,4025865.549,0,0,0,0,1874.148,5852.950
4.950,0.990,94.059,0,0,6.122,1.020,92.857,0,0,12.766,0,87.234,0,0,4.167,0,95.833,0,0,3.093,1.031,95.876,0,0,2.020,0,97.980,0,0,2.062,0,97.938,0,0,1.010,1.010,97.980,0,0,4.348,0.512,95.141,0,0,0,20480,122,228,0,0,1521,5105
5.941,0,94.059,0,0,3.125,0,96.875,0,0,2.020,3.030,94.949,0,0,7.216,1.031,91.753,0,0,5.102,4.082,90.816,0,0,4.040,0,95.960,0,0,3.158,1.053,85.263,10.526,0,3,2,95,0,0,4.331,1.274,92.994,1.401,0,0,180224,718,1122,0,0,1390,4201
10.891,0,89.109,0,0,3.030,0,96.970,0,0,4,0,96,0,0,5,0,95,0,0,7.071,6.061,86.869,0,0,83.333,5.882,10.784,0,0,4.040,0,95.960,0,0,4.124,0,95.876,0,0,15.414,1.629,82.957,0,0,0,0,0,0,0,0,1827,3799
21.008,0,78.992,0,0,3.061,0,90.816,6.122,0,1.980,1.980,96.040,0,0,1.010,1.010,97.980,0,0,0,2.041,97.959,0,0,95.960,4.040,0,0,0,1.010,0,98.990,0,0,0,1,99,0,0,15.536,1.233,82.491,0.740,0,0,122880,54,74,0,0,2394,8815
2.941,1.961,95.098,0,0,1.031,0,98.969,0,0,1.020,0,98.980,0,0,0,0,100,0,0,1,1,98,0,0,95,5,0,0,0,0,0,100,0,0,0,0,100,0,0,12.879,0.884,86.237,0,0,0,0,98,210,0,0,1704,5887
0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,97.030,2.970,0,0,0,0,0,100,0,0,0,0,100,0,0,12.281,0.501,87.218,0,0,0,0,66,86,0,0,615,968
1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,0,1,99,0,0,98.990,1.010,0,0,0,0,0,100,0,0,2.020,0,97.980,0,0,12.782,0.251,86.967,0,0,0,0,66,806,0,0,631,1052
2.913,0,97.087,0,0,1,0,99,0,0,0,0,100,0,0,1.980,0,98.020,0,0,0.990,0,99.010,0,0,97,3,0,0,0,0,0,96,4,0,1.010,0,98.990,0,0,13.076,0.498,86.052,0.374,0,0,20480,330,124,0,0,677,1035
1.980,0,98.020,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,96.040,3.960,0,0,0,0.990,0,99.010,0,0,0.990,0,96.040,2.970,0,12.406,0.501,86.717,0.376,0,0,16384,98,86,0,0,803,1052
