"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -C 0,1,2,3,4,5,6,7,total --output /home/rexhuang/program/Homework/operating_systems/thread/thread8_cpu.csv",,,,"Date:","23 Oct 2020 15:16:02 CST"
"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,,"cpu4 usage",,,,,"cpu5 usage",,,,,"cpu6 usage",,,,,"cpu7 usage",,,,,"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu5 usage:usr","cpu5 usage:sys","cpu5 usage:idl","cpu5 usage:wai","cpu5 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","cpu7 usage:usr","cpu7 usage:sys","cpu7 usage:idl","cpu7 usage:wai","cpu7 usage:stl","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","read","writ","recv","send","in","out","int","csw"
11.864,1.588,84.735,1.813,0,10.320,1.784,86.562,1.334,0,10.088,1.793,86.671,1.448,0,9.315,1.823,87.548,1.313,0,7.520,2.322,88.726,1.431,0,8.777,2.082,85.807,3.334,0,8.554,1.836,86.834,2.776,0,8.831,1.815,87.022,2.332,0,9.424,1.879,86.727,1.970,0,751665.835,3573089.473,0,0,0,0,1887.534,5909.947
7.143,4.082,88.776,0,0,1,1,98,0,0,2,1,97,0,0,7,1,92,0,0,1.010,4.040,94.949,0,0,5.319,0,94.681,0,0,10.784,0.980,88.235,0,0,5,1,94,0,0,5.283,1.509,93.208,0,0,0,0,0,233,0,0,1535,5993
9.709,0,90.291,0,0,7.071,8.081,84.848,0,0,52.525,2.020,45.455,0,0,7.292,2.083,90.625,0,0,0,4.082,95.918,0,0,1.031,0,98.969,0,0,6.122,1.020,92.857,0,0,3,1,96,0,0,10.746,2.402,86.852,0,0,0,0,1867,3369,0,0,2489,9595
17.391,0.870,81.739,0,0,9.615,0.962,89.423,0,0,95.960,4.040,0,0,0,2.128,0,97.872,0,0,3.030,2.020,94.949,0,0,2.020,0,97.980,0,0,2,0,98,0,0,2.041,0,97.959,0,0,16.893,1.110,81.998,0,0,0,0,2096,1856,0,0,2393,8832
3.883,0.971,95.146,0,0,2.913,0.971,96.117,0,0,95.050,4.950,0,0,0,0,0,100,0,0,0,0,98.990,1.010,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,12.750,0.875,86.125,0.250,0,0,4096,188,228,0,0,1153,3140
5.714,0,94.286,0,0,4.902,0,95.098,0,0,96.970,3.030,0,0,0,1.053,1.053,97.895,0,0,0,2,95,3,0,1.020,0,98.980,0,0,0,0,100,0,0,0,0,100,0,0,13.910,0.627,85.213,0.251,0,0,94208,275,205,0,0,1585,5298
4.902,0.980,94.118,0,0,13.514,0.901,85.586,0,0,96.040,3.960,0,0,0,3,0,97,0,0,0,0,95.960,4.040,0,0.990,0.990,98.020,0,0,0,0,96.970,3.030,0,0,0,100,0,0,14.957,0.742,83.436,0.865,0,0,204800,98,210,0,0,1548,5686
0.990,0,99.010,0,0,1.010,0,98.990,0,0,95,5,0,0,0,0,0,100,0,0,1.010,0,98.990,0,0,0,0,100,0,0,1.980,0,98.020,0,0,0,0,100,0,0,12.406,0.752,86.842,0,0,0,0,66,118,0,0,847,2030
0,0,100,0,0,1,0,99,0,0,99,1,0,0,0,1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,1,0,99,0,0,12.782,0.125,87.093,0,0,0,0,351,356,0,0,630,1015
0,0,100,0,0,0,0,100,0,0,97,3,0,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,1,0,99,0,0,3,0,97,0,0,12.907,0.376,86.717,0,0,0,274432,548,1090,0,0,761,1142
0,0,100,0,0,0,0,100,0,0,96.970,3.030,0,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,1,0,99,0,0,0,1,99,0,0,12.375,0.500,87.125,0,0,0,0,0,0,0,0,611,904
0,0,100,0,0,0,0,100,0,0,95,5,0,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,12.030,0.627,87.343,0,0,0,0,0,0,0,0,550,822
86,2,12,0,0,86,3,11,0,0,94.118,4.902,0.980,0,0,87,2,11,0,0,86.139,1.980,8.911,2.970,0,85,3,12,0,0,86.139,2.970,10.891,0,0,84,4,12,0,0,87.125,2.750,9.750,0.375,0,0,94208,98,352,0,0,3069,1315
97.030,2.970,0,0,0,96.970,3.030,0,0,0,97,3,0,0,0,96,3,1,0,0,98,2,0,0,0,98,2,0,0,0,98,2,0,0,0,98,2,0,0,0,97.132,2.743,0.125,0,0,0,188416,976,972,0,0,2696,1536
96.970,3.030,0,0,0,86.275,12.745,0.980,0,0,95.960,4.040,0,0,0,96.040,3.960,0,0,0,84,16,0,0,0,97,3,0,0,0,95.960,4.040,0,0,0,97,3,0,0,0,93.625,6.250,0.125,0,0,0,389120,188,228,0,0,5525,9041
98,2,0,0,0,98,2,0,0,0,99.010,0.990,0,0,0,99,1,0,0,0,96,4,0,0,0,99.010,0.990,0,0,0,98.020,1.980,0,0,0,98.990,1.010,0,0,0,98.502,1.498,0,0,0,0,0,312,415,0,0,3469,4070
99.010,0.990,0,0,0,100,0,0,0,0,99,1,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,98.990,1.010,0,0,0,98,2,0,0,0,98.875,1.125,0,0,0,0,323584,1966,303,0,0,2553,1968
94,5,1,0,0,95,5,0,0,0,92.929,7.071,0,0,0,94.949,5.051,0,0,0,91.919,8.081,0,0,0,93,7,0,0,0,91.089,7.921,0.990,0,0,90.099,8.911,0.990,0,0,92.759,6.742,0.499,0,0,0,36864,0,0,0,0,2389,973
99,1,0,0,0,99,1,0,0,0,99,1,0,0,0,98,2,0,0,0,100,0,0,0,0,99,1,0,0,0,99,1,0,0,0,98,2,0,0,0,98.875,1.125,0,0,0,0,0,258,414,0,0,3101,3297
99,1,0,0,0,98,2,0,0,0,99,1,0,0,0,99,1,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,98.875,1.125,0,0,0,0,53248,1168,86,0,0,2676,1944
100,0,0,0,0,99.010,0.990,0,0,0,100,0,0,0,0,99,1,0,0,0,96,4,0,0,0,98,2,0,0,0,98.020,1.980,0,0,0,98,2,0,0,0,98.750,1.250,0,0,0,0,0,0,0,0,0,2660,2230
100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98.020,1.980,0,0,0,96,4,0,0,0,99,1,0,0,0,100,0,0,0,0,99,1,0,0,0,99,1,0,0,0,0,0,98,210,0,0,2449,1542
66,15,19,0,0,88,9,3,0,0,85,10,5,0,0,84,13,3,0,0,91.089,7.921,0.990,0,0,75.758,13.131,11.111,0,0,82.653,12.245,5.102,0,0,88.889,11.111,0,0,0,82.456,11.654,5.890,0,0,0,12288,0,142,0,0,2922,1325
10.811,0,89.189,0,0,5.051,0,94.949,0,0,0,88,12,0,0,1,0,99,0,0,11.111,1.010,87.879,0,0,1,1,98,0,0,0,1,99,0,0,4.040,0,95.960,0,0,4.461,11.029,84.511,0,0,0,69632,620,856,0,0,1736,3104
14.035,0,85.965,0,0,3.883,0.971,69.903,25.243,0,0.990,39.604,54.455,4.950,0,3.960,0.990,91.089,3.960,0,2.020,0,89.899,8.081,0,3.030,0,92.929,4.040,0,1.942,2.913,24.272,70.874,0,2.020,1.010,96.970,0,0,3.907,5.739,75.458,14.896,0,4096,67461120,220,438,0,0,1456,3090
6.897,2.299,90.805,0,0,2.105,0,97.895,0,0,6.522,3.261,90.217,0,0,5.208,1.042,93.750,0,0,1.064,1.064,97.872,0,0,1.064,0,98.936,0,0,0,3.093,9.278,87.629,0,0,1.042,98.958,0,0,2.793,1.330,84.574,11.303,0,0,90447872,66,86,0,0,2205,9069
3.883,1.942,94.175,0,0,2.970,1.980,95.050,0,0,1,0,99,0,0,5.208,1.042,93.750,0,0,6.383,1.064,92.553,0,0,4.167,1.042,94.792,0,0,3.061,2.041,55.102,39.796,0,2.041,0,97.959,0,0,3.567,1.401,90.064,4.968,0,8192,27000832,0,0,0,0,1397,5048
