"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -d -r -g -i -m -p -s --output /home/rexhuang/program/Homework/operating_systems/thread/thread6.csv",,,,"Date:","23 Oct 2020 15:50:30 CST"
"dsk/total",,"io/total",,"paging",,"interrupts",,,"memory usage",,,,"procs",,,"swap",
"read","writ","read","writ","in","out","142","143","144","used","free","buff","cach","run","blk","new","used","free"
576112.663,3474865.040,8.745,11.044,0,0,0.520,29.111,68.103,5949943808,13360136192,240562176,6202892288,2,0,1.468,0,8192520192
0,0,0,0,0,0,0,15,114,5952102400,13357969408,240562176,6201769984,0,0,2,0,8192520192
0,36864,0,9,0,0,0,24,197,5971787776,13338095616,240562176,6198218752,1,0,5,0,8192520192
0,303104,0,25,0,0,0,36,10,6013730816,13296119808,240594944,6195073024,1,0,0,0,8192520192
0,20480,0,1,0,0,0,14,13,6048641024,13261209600,240594944,6195073024,1,0,0,0,8192520192
0,0,0,0,0,0,0,30,14,6080520192,13229330432,240594944,6194847744,1,0,1,0,8192520192
0,0,0,0,0,0,0,24,11,6110269440,13199581184,240594944,6195073024,1,0,0,0,8192520192
0,741376,0,35,0,0,0,21,13,6150631424,13159219200,240611328,6195056640,1,0,0,0,8192520192
0,167936,0,3,0,0,0,14,15,6194765824,13115060224,240619520,6195073024,1,0,1,0,8192520192
0,0,0,0,0,0,0,14,11,6238117888,13071708160,240619520,6195073024,1,0,0,0,8192520192
0,0,0,0,0,0,0,11,16,6281826304,13027999744,240619520,6195073024,1,0,0,0,8192520192
0,0,0,0,0,0,0,18,12,6315372544,12994453504,240619520,6195073024,1,0,0,0,8192520192
0,20480,0,2,0,0,0,15,17,6357999616,12951826432,240619520,6195073024,6,0,6,0,8192520192
0,0,0,0,0,0,0,13,105,6556540928,12753281024,240619520,6195077120,7,0,0,0,8192520192
0,86016,0,3,0,0,0,11,25,6747267072,12562542592,240627712,6195081216,6,0,0,0,8192520192
0,0,0,0,0,0,0,21,16,6919127040,12390682624,240627712,6195081216,6,0,0,0,8192520192
0,303104,0,52,0,0,0,25,34,7124320256,12185468928,240644096,6195081216,6,0,2,0,8192520192
0,319488,0,57,0,0,0,14,11,7317762048,11992023040,240644096,6195085312,6,1,0,0,8192520192
0,204800,0,44,0,0,0,10,45,7486746624,11823038464,240644096,6195085312,6,0,0,0,8192520192
0,61440,0,2,0,0,0,14,31,7670501376,11639275520,240652288,6195085312,6,0,0,0,8192520192
0,0,0,0,0,0,0,13,28,7849103360,11460673536,240652288,6195085312,4,0,0,0,8192520192
0,0,0,0,0,0,0,18,9,8549511168,10760265728,240652288,6195085312,4,0,0,0,8192520192
0,57344,0,2,0,0,0,16,7,8247619584,11062149120,240660480,6195085312,4,0,1,0,8192520192
0,348160,0,1,0,0,0,12,10,8407805952,10901815296,240660480,6195793920,3,0,0,0,8192520192
0,73728,0,3,0,0,0,18,46,8420990976,9342672896,240668672,7700520960,1,0,0,0,8192520192
0,80945152,0,107,0,0,0,20,60,5940375552,11238629376,240668672,8269139968,0,1,1,0,8192520192
